date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:18:28	330/330	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Apr%202022%2020:39:17%20GMT	https://www.kaizenmantra.net/robots.txt		(from )
02:18:29	42127/42127	---M-Z	200	added ('OK')	text/html	etag:W/%22ef32c03ddb0ba1241a4bc3fd22353974--gzip%22	https://www.kaizenmantra.net/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/index.html	(from )
02:18:29	106760/106760	---M-Z	200	added ('OK')	text/html	etag:W/%22e487666ab9cace2802c7dec248575936--gzip%22	https://www.kaizenmantra.net/blog	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/blog.html	(from https://www.kaizenmantra.net/)
02:18:30	35715/35715	---M-Z	200	added ('OK')	text/html	etag:W/%225f5ab1d18a5151b3f817f93c9699d686--gzip%22	https://www.kaizenmantra.net/about	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/about.html	(from https://www.kaizenmantra.net/)
02:18:32	49578/49578	---M-Z	200	added ('OK')	text/html	etag:W/%228e7573dd5b7203e29edeaada586be4f4--gzip%22	https://www.kaizenmantra.net/technologyprojects/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/technologyprojects/index.html	(from https://www.kaizenmantra.net/)
02:18:32	55142/55142	---M-Z	200	added ('OK')	text/html	etag:W/%226cd8eed65841ab325bf33b14d7b91330%22	https://www.kaizenmantra.net/digitalpersuasion/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/digitalpersuasion/index.html	(from https://www.kaizenmantra.net/)
02:18:33	40979/40979	---M-Z	200	added ('OK')	text/html	etag:W/%220e01375a651c5690019ac39d68e5b3b0--gzip%22	https://www.kaizenmantra.net/communicationdesign/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/communicationdesign/index.html	(from https://www.kaizenmantra.net/)
02:18:33	48041/48041	---MCZ	200	added ('OK')	text/html	etag:W/%2240c9e628fbdd4002c2a1015c031f06ce--gzip%22	https://www.kaizenmantra.net/designanalysis/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/designanalysis/index.html	(from https://www.kaizenmantra.net/)
02:18:34	46736/46736	---MCZ	200	added ('OK')	text/html	etag:W/%2225dc91999da2a01b7d73a4a9d0f1498c--gzip%22	https://www.kaizenmantra.net/businessmodeldesign/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/businessmodeldesign/index.html	(from https://www.kaizenmantra.net/)
02:18:35	49087/49087	---MCZ	200	added ('OK')	text/html	etag:W/%225d14ef5bd702cd0ff25e329a2c027d6a--gzip%22	https://www.kaizenmantra.net/datavisualization1/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/datavisualization1/index.html	(from https://www.kaizenmantra.net/)
02:18:35	43100/43100	---MCZ	200	added ('OK')	text/html	etag:W/%22797e75031f921a0a63b354dc0d1540f7--gzip%22	https://www.kaizenmantra.net/observingusers1/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/observingusers1/index.html	(from https://www.kaizenmantra.net/)
02:18:35	46486/46486	---MCZ	200	added ('OK')	text/html	etag:W/%2247ce33675d615ad844302582532fc16d--gzip%22	https://www.kaizenmantra.net/businesscapabilities/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/businesscapabilities/index.html	(from https://www.kaizenmantra.net/)
02:18:35	46460/46460	---MCZ	200	added ('OK')	text/html	etag:W/%2271e5be87de49012fe7b8965cadeed4c4--gzip%22	https://www.kaizenmantra.net/portfoliorationalization/	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/portfoliorationalization/index.html	(from https://www.kaizenmantra.net/)
02:18:35	49145/49145	---MCZ	200	added ('OK')	text/html	etag:W/%22884eff28dd0939d82cb3f4fe3155ed59--gzip%22	https://www.kaizenmantra.net/blog/salesforce-asp-jsp-edgar-allen-poe	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/blog/salesforce-asp-jsp-edgar-allen-poe.html	(from https://www.kaizenmantra.net/blog)
02:18:37	40947/40947	---MCZ	200	added ('OK')	text/html	etag:W/%22c3aee1991356d948ff322fb82c7ca4a1--gzip%22	https://www.kaizenmantra.net/blog/tag/Consulting	/Users/sgupta/websites/kzmt/www.kaizenmantra.net/blog/tag/Consulting.html	(from https://www.kaizenmantra.net/blog)
